Year,TeamLeft,PointsLeft,TeamRight,PointsRight
2014,San Diego St.,63,North Dakota St.,44
2014,Virginia,78,Memphis,60
2014,Connecticut,77,Villanova,65
2014,Iowa St.,85,North Carolina,83
2014,Michigan St.,80,Harvard,73
2014,Florida,61,Pittsburgh,45
2014,Stanford,60,Kansas,57
2014,Dayton,55,Syracuse,53
2014,UCLA,77,Stephen F. Austin,65
2014,Kentucky,74,Louisville,69
2014,Michigan,73,Tennessee,71
2014,Arizona,70,San Diego St.,64
2014,Wisconsin,69,Baylor,52
2014,Michigan St.,61,Virginia,59
2014,Connecticut,81,Iowa St.,76
2014,Florida,79,UCLA,68
2014,Dayton,82,Stanford,72
2014,Kentucky,75,Michigan,72
2014,Wisconsin,64,Arizona,63
2014,Connecticut,60,Michigan St.,54
2014,Florida,62,Dayton,52
2014,Connecticut,63,Florida,53
2014,Kentucky,74,Wisconsin,73
2014,Connecticut,60,Kentucky,54
2013,Louisville,79,North Carolina A&T,48
2013,Duke,73,Albany,61
2013,Michigan St.,65,Valparaiso,54
2013,Saint Louis,64,New Mexico St.,44
2013,Oregon,68,Oklahoma St.,55
2013,Memphis,54,Saint Mary's,52
2013,Creighton,67,Cincinnati,63
2013,Colorado St.,84,Missouri,72
2013,Gonzaga,64,Southern,58
2013,Ohio St.,95,Iona,70
2013,Harvard,68,New Mexico,62
2013,La Salle,63,Kansas St.,61
2013,Mississippi,57,Wisconsin,46
2013,Arizona,81,Belmont,64
2013,Iowa St.,76,Notre Dame,58
2013,Wichita St.,73,Pittsburgh,55
2013,Indiana,83,James Madison,62
2013,Miami FL,78,Pacific,49
2013,Marquette,59,Davidson,58
2013,Syracuse,81,Montana,34
2013,California,64,UNLV,61
2013,Butler,68,Bucknell,56
2013,Illinois,57,Colorado,49
2013,Temple,76,North Carolina St.,72
2013,Kansas,64,Western Kentucky,57
2013,Florida Gulf Coast,78,Georgetown,68
2013,Florida,79,Northwestern St.,47
2013,Michigan,71,South Dakota St.,56
2013,VCU,88,Akron,42
2013,Minnesota,83,UCLA,63
2013,San Diego St.,70,Oklahoma,55
2013,North Carolina,78,Villanova,71
