YEAR,TEAM NO,TEAM,SEED,ROUND,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,PLUS 500,R SCORE,BID TYPE
2021,813,Virginia,4,64,12,29,18,18,10,5,4,9,1,12,99.1,Auto
2021,812,Virginia Tech,10,64,48,47,45,52,45,2,3,5,0,9,60.2,At-Large
2021,811,West Virginia,3,32,23,11,22,31,24.3,7,3,10,0,9,99.4,At-Large
2021,810,Wichita St.,11,68,72,60,38,37,78,2,2,4,1,9,18.7,At-Large
2021,809,Winthrop,12,64,55,122,43,30,88.7,0,2,2,1,22,1.1,Auto
2021,808,Wisconsin,9,32,26,15,30,55,14,5,5,10,0,5,91.4,At-Large
2019,807,Abilene Christian,15,64,154,178,79,94,150.3,0,0,0,5,17,0,Auto
2019,806,Arizona St.,11,64,63,45,49,44,57.7,3,8,11,4,12,26.6,At-Large
2019,805,Auburn,5,4,18,19,16,15,12.7,5,13,18,0,16,99.4,Auto
2019,804,Baylor,9,32,39,27,44,58,42,4,8,12,3,6,84.6,At-Large
2019,803,Belmont,11,64,47,73,39,31,53.3,2,3,5,2,20,36.1,At-Large
2019,802,Bradley,15,64,176,162,165,118,166,1,1,2,11,5,0,Auto
2019,801,Buffalo,6,32,15,63,19,6,23.3,2,5,7,1,27,97.7,Auto
2019,800,Cincinnati,7,64,25,29,18,13,32,5,8,13,1,22,97.5,Auto
2019,799,Colgate,15,64,132,184,111,78,134,0,0,0,6,13,0,Auto
2019,798,Duke,1,8,3,1,1,2,2.3,11,6,17,0,24,99.9,Auto
2019,797,Fairleigh Dickinson,16,64,203,263,197,159,204.3,0,0,0,10,5,0,Auto
2019,796,Florida,10,32,31,35,47,48,28.3,4,4,8,2,4,86.4,At-Large
2019,795,Florida St.,4,16,16,10,10,11,14.7,8,6,14,1,20,99.7,At-Large
2019,794,Gardner Webb,16,64,173,165,121,103,162,0,1,1,8,9,0,Auto
2019,793,Georgia St.,14,64,121,102,66,54,110.3,1,3,4,5,14,0,Auto
